"id","research_question","train_sizes","test_sizes","algorithm","representation","comparison_or_ablation","seeds","evaluation_games","primary_metric","priority","status"
"ENV-CONFORMANCE","Does the headless environment match the reference rules?","NA","5;7;9;10;12;15","Random replay","Full state","Headless vs Web reference trajectories","5 fixtures + 60 seeded games","NA","state and legality mismatch count","mandatory","complete engineering gate: 65 traces pass; cross-implementation equivalence is not exhaustive at any size"
"ENV-THROUGHPUT","Is the benchmark fast enough for self-play?","5;7;9","5;7;9;10;12;15","Random legal policy","Grid observation","board size scaling","3 identical-seed repeats","NA","transitions per second","mandatory","complete engineering report: 200 transitions per repeat on six sizes"
"DIAG-EDGE-WEAK","Can identical grids contain different reachable logical edges?","5;6","5;6","Reachability replay","Grid vs full state","paired histories","deterministic fixtures","NA","number of verified pairs","mandatory","complete dataset v1: two reachable weak topology pairs"
"DIAG-EDGE-STRONG","Does omitted topology change a decision-relevant outcome?","5;6","5;6","Targeted search plus exact planning","Grid vs Topology","visible transition; return; Q value; optimal move","exact n5 + bounded n6","NA","verified decision-relevant pairs","mandatory","falsified at n5: 0 of 1088 pairs strict; n6 bounded search found none"
"DIAG-HISTORY","Does Superko history change legality under identical grid and edges?","5;6","5;6","Targeted cycle search","Topology vs TopologyHistory","Superko on/off and paired histories","exact n5 + bounded n6","NA","verified legality-divergent pairs","mandatory","falsified at n5: no natural Superko; one weak pair; n6 bounded search found none"
"BASE-SEARCH","How strong are non-learning agents?","NA","5;7;9","Random; Greedy; Minimax-2; Minimax-3; UCT-MCTS","Full state","fixed search budgets","deterministic","200 per matchup","color-balanced win rate and Elo","mandatory","implemented: five agents + replayable arena + 30-game engineering matrix; formal budgets and 200-game runs pending"
"AZ-GRID","How well do topology-blind neural baselines learn?","5;7;9","5;7;9","AlphaZero-style","PaddedCNN; GridGraph","common self-play pipeline","5","200 per matchup","arena Elo and sample efficiency","mandatory","formal five-seed D14-D16 data complete for Padded-CNN and Grid-GNN on seen sizes 5/7/9; pooled score curves reported; original Elo and fixed-strength scalar not computed"
"AZ-TOPO","Does explicit topology improve neural self-play?","5;7;9","5;7;9","AlphaZero-style","Topology","matched against PaddedCNN and GridGraph","5","200 per matchup","arena Elo and steps to fixed strength","mandatory","D13 joint gate and formal five-seed D14-D16 data complete on seen sizes 5/7/9; pairwise direction is size-dependent except Topology over Grid; no global rank, Elo, or unseen-size claim"
"GEN-SIZE","Does topology improve zero-shot size generalization?","5;7;9","10;12","AlphaZero-style","GridGraph; Topology","unseen board sizes without fine-tuning","5","200 per size and model","zero-shot win rate and Elo drop","mandatory","planned"
"ABL-EDGE","Which logical relations matter?","5;7;9","9;10;12","AlphaZero-style","Topology","remove own edges; remove opponent edges; remove both","3","200 per ablation","Elo and policy/value error","mandatory","planned"
"ABL-SUPERKO","How much difficulty comes from repetition history?","5;7;9","9;10","AlphaZero-style","Topology; TopologyHistory","Superko on vs off","3","200 per ablation","sample efficiency and illegal/rejected actions","mandatory","gated: n5 is structurally identical; require natural trigger evidence on n7/n9 before training"
"ABL-CASCADE","How much difficulty comes from cascading removal?","5;7;9","9;10","AlphaZero-style","Topology","cascade on vs controlled off variant","3","200 per ablation","sample efficiency and search cost","mandatory","planned"
"COMPUTE-MATCH","Are model comparisons fair?","5;7;9","5;7;9;10;12","AlphaZero-style","PaddedCNN; GridGraph; Topology","matched parameters; simulations; games; reported wall-clock","all main seeds","NA","compute and parameter accounting","mandatory","formal 5/7/9 parameter, self-play, gradient, search, and evaluation budgets audited; parameter spread 0.6982%; environment steps, wall-clock, memory, and FLOPs not matched; n10/12 pending"
"PPO-STRETCH","Does a model-free baseline show the same representation effect?","5;7","7;9","Maskable PPO with opponent pool","GridGraph; Topology","matched environment steps","3","200 per matchup","win rate and sample efficiency","stretch","blocked on core results"
"SYNTHETIC-STRETCH","Does the representation transfer beyond LIFELINE?","generated graphs","held-out graph sizes","planning or self-play","GridGraph; Topology","synthetic dynamic-connectivity task","3","200 per setting","return and size generalization","stretch","blocked on core results"
